q-crq|vbz Who's
a-acp there
? ?
uh Nay
, ,
vvb answer
pno11 me
: :
vvb stand
, ,
cc and
vvb unfold
px21 yourself
. .
av-j Long
vvb live
dt the
n1 king
! !
np1 Bernardo
? ?
pns31 He
. .
pn22 You
vvb come
av-ds most
av-j carefully
p-acp upon
po22 your
n1 hour
. .
pn31|vbz 'Tis
av now
vvn struck
crd twelve
; ;
vvb get
pno21 thee
p-acp to
n1 bed
, ,
np1 Francisco
. .
p-acp For
d this
n1 relief
av-d much
n2 thanks
: :
pn31|vbz 'tis
j bitter
j-jn cold
, ,
cc And
pns11 I
vbm am
j sick
pp at
n1 heart
. .
vhb Have
pn22 you
vhn had
j-jn quiet
n1 guard
? ?
xx Not
dt a
n1 mouse
vvg stirring
. .
uh-av Well
, ,
j good
n1 night
. .
cs If
pn22 you
vdb do
vvi meet
np1 Horatio
cc and
np1 Marcellus
, ,
dt The
n2 rivals
pp-f of
po11 my
n1 watch
, ,
vvb bid
pno32 them
vvi make
n1 haste
. .
pns11 I
vvb think
pns11 I
vvb hear
pno32 them
. .
vvb Stand
, ,
uh ho
! !
q-crq Who
vbz is
a-acp there
? ?
n2 Friends
p-acp to
d this
n1 ground
. .
cc And
n2 liegemen
p-acp to
dt the
np1 Dane
. .
vvb Give
pn22 you
j good
n1 night
. .
uh O
, ,
uh-n farewell
, ,
j honest
n1 soldier
: :
q-crq Who
vhz hath
vvn relieved
pn22 you
? ?
np1 Bernardo
vhz hath
po11 my
n1 place
. .
vvb Give
pn22 you
j good
n1 night
. .
uh Holla
! !
np1 Bernardo
! !
vvb Say
, ,
q-crq What
, ,
vbz is
np1 Horatio
a-acp there
? ?
dt A
n1 piece
pp-f of
pno31 him
. .
uh-jn Welcome
, ,
np1 Horatio
: :
uh-jn welcome
, ,
j good
np1 Marcellus
. .
q-crq What
, ,
vhz has
d this
n1 thing
vvn appeared
av again
av-an to-night
? ?
pns11 I
vhb have
vvn seen
pix nothing
. .
np1 Horatio
vvz says
pn31|vbz 'tis
p-acp but
po12 our
n1 fantasy
, ,
cc And
vmb will
xx not
vvi let
n1 belief
vvi take
n1 hold
pp-f of
pno31 him
vvg Touching
d this
j-vvn dreaded
n1 sight
, ,
av twice
vvn seen
pp-f of
pno12 us
: :
av Therefore
pns11 I
vhb have
vvn entreated
pno31 him
a-acp along
pp With
pno12 us
pc-acp to
vvi watch
dt the
n2 minutes
pp-f of
d this
n1 night
; ;
cst That
cs if
av again
d this
n1 apparition
vvb come
, ,
pns31 He
vmb may
vvi approve
po12 our
n2 eyes
cc and
vvi speak
p-acp to
pn31 it
. .
uh Tush
, ,
uh tush
, ,
pn31|vmb 'twill
xx not
vvi appear
. .
vvb Sit
a-acp down
av awhile
; ;
cc And
vvb let
pno12 us
a-acp once
av again
vvi assail
po22 your
n2 ears
, ,
cst That
vbb are
av so
vvn fortified
pp against
po12 our
n1 story
r-crq What
pns12 we
vhb have
crd two
n2 nights
vvn seen
. .
uh-av Well
, ,
vvb sit
pns12 we
a-acp down
, ,
cc And
vvb let
pno12 us
vvi hear
np1 Bernardo
vvi speak
pp-f of
d this
. .
ord Last
n1 night
pp-f of
d all
, ,
c-crq When
d yond
d same
n1 star
cst|vbz that's
av westward
pp from
dt the
n1 pole
vhd Had
vvn made
po31 his
n1 course
pc-acp to
vvi illume
d that
n1 part
pp-f of
n1 heaven
c-crq Where
av now
pn31 it
vvz burns
, ,
np1 Marcellus
cc and
px11 myself
, ,
dt The
n1 bell
av then
vvg beating
pi one
, ,
n1 Peace
, ,
vvb break
pno21 thee
a-acp off
; ;
vvb look
, ,
c-crq where
pn31 it
vvz comes
av again
! !
p-acp In
dt the
d same
n1 figure
, ,
av-j like
dt the
n1 king
cst|vbz that's
j dead
. .
pns21 Thou
vb2 art
dt a
n1 scholar
; ;
vvb speak
p-acp to
pn31 it
, ,
np1 Horatio
. .
vvz Looks
pns31 'a
xx not
av-j like
dt the
n1 king
? ?
vvb mark
pn31 it
, ,
np1 Horatio
. .
d Most
j like
: :
pn31 it
n2 harrows
pno11 me
pp with
n1 fear
cc and
n1 wonder
. .
pn31 It
vmd would
vbi be
vvn spoke
p-acp to
. .
vvb Speak
p-acp to
pn31 it
, ,
np1 Horatio
. .
q-crq What
vb2 art
pns21 thou
cst that
vv2 usurp'st
d this
n1 time
pp-f of
n1 night
, ,
av Together
pp with
d that
j fair
cc and
j warlike
n1 form
p-acp In
r-crq which
dt the
n1 majesty
pp-f of
j-vvn buried
np1 Denmark
vdd Did
av sometimes
vvi march
? ?
p-acp by
n1 heaven
pns11 I
vvb charge
pno21 thee
, ,
vvb speak
! !
pn31 It
vbz is
vvn offended
. .
vvb See
, ,
pn31 it
vvz stalks
av away
! !
vvb Stay
! !
vvb speak
, ,
vvb speak
! !
pns11 I
vvb charge
pno21 thee
, ,
vvb speak
! !
pn31|vbz 'Tis
vvn gone
, ,
cc and
vmb will
xx not
vvi answer
. .
c-crq How
av now
, ,
np1 Horatio
! !
pn22 you
vvb tremble
cc and
vvb look
j pale
: :
vbz Is
xx not
d this
pi something
dc more
cs than
n1 fantasy
? ?
q-crq What
vvb think
pn22 you
p-acp|pn31 on't
? ?
p-acp Before
po11 my
np1 God
, ,
pns11 I
vmd might
xx not
d this
vvi believe
p-acp Without
dt the
j sensible
cc and
j true
n1 avouch
pp-f Of
po11 mine
d own
n2 eyes
. .
vbz Is
pn31 it
xx not
av-j like
dt the
n1 king
? ?
c-acp As
pns21 thou
vb2 art
p-acp to
px21 thyself
: :
d Such
vbd was
dt the
j very
n1 armour
pns31 he
vhd had
a-acp on
c-crq When
pns31 he
dt the
j ambitious
np1 Norway
vvd combated
; ;
av So
vvd frowned
pns31 he
a-acp once
, ,
c-crq when
, ,
p-acp in
dt an
j angry
n1 parle
, ,
pns31 He
vvd smote
dt the
j-vvn sledded
njp2 Polacks
p-acp on
dt the
n1 ice
. .
pn31|vbz 'Tis
j strange
. .
av Thus
av twice
a-acp before
, ,
cc and
av jump
pp at
d this
j dead
n1 hour
, ,
pp With
j martial
n1 stalk
vhz hath
pns31 he
vvn gone
p-acp by
po12 our
n1 watch
. .
p-acp In
r-crq what
j particular
n1 thought
pc-acp to
vvi work
pns11 I
vvb know
xx not
: :
cc-acp But
p-acp in
dt the
j gross
cc and
n1 scope
pp-f of
po11 mine
n1 opinion
, ,
d This
vvz bodes
d some
j strange
n1 eruption
p-acp to
po12 our
n1 state
. .
j Good
av now
, ,
vvb sit
a-acp down
, ,
cc and
vvb tell
pno11 me
, ,
pns31 he
cst that
vvz knows
, ,
c-crq Why
d this
d same
j strict
cc and
av-ds most
j observant
n1 watch
av So
av-j nightly
vvz toils
dt the
n-jn subject
pp-f of
